Country,City,Lifestyle_Level,Rent_Type,Monthly_Rent,Monthly_Utilities,Monthly_Transport,Monthly_Groceries,Monthly_School_Fees,Monthly_Dining,Monthly_Healthcare,Monthly_Misc,Total_Monthly_Cost,Currency,Source,Last_Verified,Estimation_Flag,Notes
NZ,Auckland,Basic,Shared Accommodation,800,80,160,400,0,120,60,150,1770,NZD,"Trademe.co.nz rentals, Numbeo Auckland CoL data, AT HOP transport costs",2026-02-19,N,"Single room in shared flat (3-4 people), outer suburbs (Mt Eden, Mt Albert, Panmure). Utilities: power, internet share. AT HOP monthly pass for zones 1-2. Basic groceries from Pak'nSave. No private healthcare - rely on public system + employer coverage. Minimal entertainment."
NZ,Auckland,Basic,1BHK,1600,140,160,550,0,200,80,200,2930,NZD,"Trademe.co.nz rentals, Numbeo Auckland CoL data",2026-02-19,N,"1-bedroom apartment in outer areas (Henderson, Papatoetoe, Manukau). Full utilities. Public transport. Mix of Countdown/Pak'nSave groceries. Occasional dining out (2-3x/month). Basic contents insurance. GP visits as needed."
NZ,Auckland,Basic,Family (2-3 BHK),2400,200,320,900,0,350,120,300,4590,NZD,"Trademe.co.nz rentals, family cost estimates",2026-02-19,N,"2-3 bedroom house/apartment, outer suburbs (Manurewa, Flat Bush, Albany). Public schools (free). Family groceries. Occasional family dining. Public healthcare + Southern Cross basic plan for family. Minimal entertainment budget."
NZ,Auckland,Moderate,Shared Accommodation,1000,90,220,500,0,300,100,250,2460,NZD,"Trademe.co.nz rentals, Numbeo Auckland data",2026-02-19,N,"Better room in good shared house, closer suburbs (Grey Lynn, Sandringham, Ellerslie). Full internet/utilities. Mix of public transport + occasional Uber. Brand-name groceries from Countdown. Regular dining/socializing. Basic gym membership."
NZ,Auckland,Moderate,1BHK,2200,160,250,700,0,450,150,350,4260,NZD,"Trademe.co.nz rentals, professional lifestyle costs",2026-02-19,N,"Modern 1-bedroom apartment, mid-range suburbs (Newmarket, Parnell, Ponsonby fringe). Car ownership possible or frequent rideshare. Regular groceries from New World/Countdown. Dining out 6-8x/month. Southern Cross Wellbeing One insurance. Gym, entertainment, hobbies."
NZ,Auckland,Moderate,Family (2-3 BHK),3200,240,400,1100,0,650,200,500,6290,NZD,"Trademe.co.nz rentals, family moderate lifestyle",2026-02-19,N,"3-bedroom house, good school zones (Remuera, Epsom fringe, Birkenhead). Public schools (donation ~NZ$300/year not monthly). Family car. Regular family groceries New World. Family dining/activities. Southern Cross family plan. Kids activities, family entertainment."
NZ,Auckland,Premium,Shared Accommodation,1400,110,350,650,0,600,200,400,3710,NZD,"Trademe.co.nz high-end flatshares",2026-02-19,Y,"Premium room in top-location shared house (Ponsonby, Herne Bay, Mission Bay). All utilities, fast internet. Own car or premium rideshare. Organic/premium groceries. Frequent dining at nice restaurants. Private health insurance. Gym membership, regular entertainment, travel."
NZ,Auckland,Premium,1BHK,3000,180,450,850,0,800,250,600,6130,NZD,"Trademe.co.nz luxury apartments, premium lifestyle costs",2026-02-19,Y,"Modern apartment in premium locations (Viaduct, Wynyard Quarter, Parnell). Car ownership or premium transport. Farro Fresh/organic groceries. Frequent fine dining. Comprehensive Southern Cross insurance. Gym, hobbies, concerts, weekend getaways."
NZ,Auckland,Premium,Family (2-3 BHK),5000,300,600,1400,2083,1200,400,800,11783,NZD,"Trademe.co.nz premium homes, international school fees",2026-02-19,Y,"4-bedroom house in top suburbs (Remuera, Herne Bay, St Heliers). Private international school: ACG Parnell/Strathallan (NZ$25,000/year = NZ$2,083/month per child). Family car. Premium groceries. Regular fine dining. Comprehensive private healthcare. Extensive extracurriculars, family travel, premium entertainment."
NZ,Wellington,Basic,Shared Accommodation,700,75,140,380,0,110,60,140,1605,NZD,"Trademe.co.nz Wellington rentals, Numbeo Wellington data, Metlink transport",2026-02-19,N,"Shared room in flat, outer areas (Newtown, Kilbirnie, Lower Hutt). Shared utilities. Metlink monthly bus pass. Budget groceries Pak'nSave. Minimal dining out. Public healthcare. Basic lifestyle."
NZ,Wellington,Basic,1BHK,1400,130,140,520,0,180,75,190,2635,NZD,"Trademe.co.nz Wellington rentals",2026-02-19,N,"1-bedroom apartment outer suburbs (Johnsonville, Petone, Miramar). Full utilities. Public transport. Standard groceries. Occasional dining. Basic insurance and healthcare costs."
NZ,Wellington,Basic,Family (2-3 BHK),2100,180,280,850,0,320,110,280,4120,NZD,"Trademe.co.nz Wellington family rentals",2026-02-19,N,"2-3 bedroom house/apartment, suburbs (Tawa, Porirua, Upper Hutt). Public schools. Family groceries. Occasional family dining. Public healthcare + basic family insurance. Minimal discretionary spending."
NZ,Wellington,Moderate,Shared Accommodation,900,85,200,480,0,280,95,240,2280,NZD,"Trademe.co.nz Wellington shared housing",2026-02-19,N,"Good shared accommodation closer to city (Mt Victoria, Island Bay, Wadestown). Mix transport + Uber. Brand-name groceries. Regular socializing/dining. Gym membership. Moderate entertainment."
NZ,Wellington,Moderate,1BHK,1950,150,230,670,0,420,140,330,3890,NZD,"Trademe.co.nz Wellington apartments, professional lifestyle",2026-02-19,N,"Modern 1-bedroom, good areas (Oriental Bay, Te Aro, Thorndon). Car or frequent rideshare. Regular New World groceries. Dining 6-8x/month. Southern Cross insurance. Regular gym, entertainment, cafes."
NZ,Wellington,Moderate,Family (2-3 BHK),2800,220,370,1050,0,600,190,480,5710,NZD,"Trademe.co.nz Wellington family housing",2026-02-19,N,"3-bedroom house in good school zones (Kelburn, Karori, Khandallah). Public schools. Family car. Regular family groceries. Family dining/activities. Southern Cross family plan. Kids activities."
NZ,Wellington,Premium,Shared Accommodation,1200,100,320,620,0,560,190,380,3370,NZD,"Trademe.co.nz Wellington premium flatshares",2026-02-19,Y,"Premium shared house in top locations (Oriental Bay, Roseneath). Own car. Premium/organic groceries. Frequent fine dining. Private insurance. Regular entertainment, gym, travel."
NZ,Wellington,Premium,1BHK,2700,170,420,820,0,750,240,570,5670,NZD,"Trademe.co.nz Wellington luxury apartments",2026-02-19,Y,"Luxury apartment waterfront (Oriental Bay, Clyde Quay, Te Aro). Car ownership. Farro/Moore Wilson's premium groceries. Regular fine dining. Comprehensive insurance. Premium gym, entertainment, weekend trips."
NZ,Wellington,Premium,Family (2-3 BHK),4200,280,560,1350,1875,1100,380,760,10505,NZD,"Trademe.co.nz Wellington premium homes, international school fees",2026-02-19,Y,"Premium 4-bedroom in top suburbs (Seatoun, Kelburn, Wadestown). International school: Queen Margaret College/Scots College (NZ$22,500/year = NZ$1,875/month per child). Family car. Premium groceries. Regular fine dining. Comprehensive private healthcare. Extensive activities and travel."
NZ,Christchurch,Basic,Shared Accommodation,600,70,110,360,0,100,55,130,1425,NZD,"Trademe.co.nz Christchurch rentals, Numbeo data, Metro card transport",2026-02-19,N,"Shared flat room, outer areas (Linwood, Hornby, Sydenham). Shared utilities. Metro bus pass. Budget Pak'nSave groceries. Minimal dining out. Public healthcare. Basic lifestyle - most affordable major NZ city."
NZ,Christchurch,Basic,1BHK,1200,120,110,490,0,160,70,180,2330,NZD,"Trademe.co.nz Christchurch rentals",2026-02-19,N,"1-bedroom apartment, outer suburbs (Papanui, Riccarton, Woolston). Full utilities. Public transport. Standard groceries. Occasional dining. Basic insurance and healthcare."
NZ,Christchurch,Basic,Family (2-3 BHK),1800,170,220,800,0,290,100,260,3640,NZD,"Trademe.co.nz Christchurch family rentals",2026-02-19,N,"2-3 bedroom house, suburbs (Belfast, Halswell, Burnside). Public schools (free). Family groceries. Occasional family dining. Public healthcare + basic Southern Cross. Minimal entertainment."
NZ,Christchurch,Moderate,Shared Accommodation,800,80,180,460,0,250,90,230,2090,NZD,"Trademe.co.nz Christchurch shared housing",2026-02-19,N,"Better shared accommodation, closer areas (Merivale, St Albans, Cashmere). Mix transport + car use. Brand groceries. Regular dining/socializing. Gym. Moderate entertainment."
NZ,Christchurch,Moderate,1BHK,1700,140,210,640,0,380,130,320,3520,NZD,"Trademe.co.nz Christchurch apartments",2026-02-19,N,"Modern 1-bedroom, good areas (Merivale, Fendalton fringe, Addington central). Car or rideshare. Regular New World groceries. Dining 6-8x/month. Southern Cross insurance. Gym, regular entertainment."
NZ,Christchurch,Moderate,Family (2-3 BHK),2400,200,340,1000,0,550,180,450,5120,NZD,"Trademe.co.nz Christchurch family housing",2026-02-19,N,"3-bedroom house, good school zones (Fendalton, Merivale, Strowan). Public schools. Family car. Regular family groceries. Family dining/activities. Southern Cross family plan. Kids activities, family outings."
NZ,Christchurch,Premium,Shared Accommodation,1050,95,300,590,0,500,180,360,3075,NZD,"Trademe.co.nz Christchurch premium flatshares",2026-02-19,Y,"Premium shared house in top locations (Merivale, Fendalton, Cashmere). Own car. Premium/organic groceries. Frequent dining out. Private insurance. Regular gym, entertainment, travel."
NZ,Christchurch,Premium,1BHK,2300,160,390,790,0,680,230,540,5090,NZD,"Trademe.co.nz Christchurch luxury apartments",2026-02-19,Y,"Luxury apartment/townhouse in premium areas (Merivale, Fendalton). Car ownership. Premium groceries. Regular fine dining. Comprehensive insurance. Premium gym, entertainment, ski trips to Mt Hutt."
NZ,Christchurch,Premium,Family (2-3 BHK),3500,260,520,1300,1625,1000,360,720,9285,NZD,"Trademe.co.nz Christchurch premium homes, private school fees",2026-02-19,Y,"Premium 4-bedroom in top suburbs (Fendalton, Merivale, Cashmere). Private school: Christ's College/St Margaret's (NZ$19,500/year = NZ$1,625/month per child). Family car. Premium groceries. Regular fine dining. Comprehensive private healthcare. Extensive activities, ski trips, family travel."
